                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7871,                 3.3869,                 1.8162,                0.00739,                0.25054,                0.04979,                0.02739,                  1.344,                 3.5349,                 1.5509,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.5678,                 3.2813,                 1.6283,                0.01199,                0.46212,                0.11678,                0.06419,                 1.4968,                  3.417,                 1.5684,             0.00014409,             0.00014409,             0.00014409
                      3,                 1.4041,                 2.7453,                 1.5117,                0.01184,                0.44372,                0.17452,                0.10813,                 1.2929,                 3.2147,                 1.3443,              0.0002149,              0.0002149,              0.0002149
                      4,                 1.4809,                 2.3218,                 1.5222,                0.05125,                0.42316,                0.24801,                0.15124,                 1.2497,                 3.0208,                 1.2796,              0.0002791,              0.0002791,              0.0002791
                      5,                 1.4525,                 2.0202,                 1.4386,                0.97321,                0.10522,                0.28854,                0.17896,                  1.248,                 2.8446,                  1.302,             0.00033671,             0.00033671,             0.00033671
                      6,                 1.3443,                 1.8941,                 1.4135,                0.96927,                0.18182,                0.30858,                0.18181,                 1.2885,                 2.7579,                 1.3306,             0.00038771,             0.00038771,             0.00038771
                      7,                 1.3282,                 1.9183,                 1.4801,                0.84023,                0.23214,                0.29214,                0.17997,                 1.2717,                 2.6563,                 1.3412,             0.00043211,             0.00043211,             0.00043211
                      8,                 1.3007,                 1.7571,                 1.4155,                0.89953,                0.21306,                0.28434,                0.16807,                  1.292,                 2.4586,                 1.3593,             0.00046991,             0.00046991,             0.00046991
                      9,                 1.2275,                  1.734,                 1.4204,                0.81261,                0.20238,                0.26079,                0.16197,                 1.3232,                 2.4244,                 1.3421,             0.00050111,             0.00050111,             0.00050111
                     10,                 1.2016,                 1.5005,                 1.3279,                0.75917,                0.22619,                0.26633,                0.17215,                 1.3402,                 2.5731,                 1.3561,             0.00052571,             0.00052571,             0.00052571
                     11,                 1.2604,                 1.5417,                 1.3604,                0.87245,                0.24334,                0.30858,                0.19012,                 1.3202,                 2.4315,                 1.3218,             0.00054371,             0.00054371,             0.00054371
                     12,                 1.2232,                 1.4222,                 1.3194,                0.74484,                0.33333,                0.40054,                 0.2417,                 1.2796,                 2.1665,                 1.3292,              0.0005551,              0.0005551,              0.0005551
                     13,                 1.1765,                 1.3557,                 1.3208,                0.72892,                0.37434,                0.43116,                 0.2619,                 1.2504,                 2.1228,                 1.3142,              0.0005599,              0.0005599,              0.0005599
                     14,                 1.2695,                 1.4149,                 1.3373,                0.77702,                0.36751,                 0.4941,                0.29563,                 1.2787,                 1.9929,                 1.3192,             0.00055809,             0.00055809,             0.00055809
                     15,                 1.2349,                 1.3635,                 1.2902,                0.81515,                0.36584,                0.58799,                0.34073,                  1.296,                 1.9315,                  1.323,             0.00054968,             0.00054968,             0.00054968
                     16,                 1.1506,                 1.4642,                 1.2649,                0.72588,                0.39147,                0.57942,                0.31911,                  1.347,                 2.0487,                 1.3635,             0.00053467,             0.00053467,             0.00053467
                     17,                 1.1212,                 1.4333,                 1.2588,                 0.6594,                0.42695,                0.68344,                0.40838,                 1.1758,                 1.9164,                 1.2568,             0.00051306,             0.00051306,             0.00051306
                     18,                 1.1679,                 1.4467,                 1.3089,                0.74076,                0.48625,                0.70845,                0.44109,                  1.186,                 1.8708,                 1.2512,             0.00048485,             0.00048485,             0.00048485
                     19,                 1.0618,                 1.3435,                 1.1914,                0.71551,                0.46027,                0.71987,                0.45123,                 1.2233,                 1.8294,                 1.2697,             0.00045004,             0.00045004,             0.00045004
                     20,                 1.1483,                 1.3578,                  1.319,                0.74246,                0.49719,                0.77153,                0.49294,                 1.2072,                 1.7862,                 1.2458,             0.00040862,             0.00040862,             0.00040862
                     21,                 1.0596,                 1.3202,                 1.2247,                0.78981,                0.65012,                0.79916,                0.50799,                 1.1825,                 1.7351,                 1.2304,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.0402,                 1.2426,                 1.1971,                0.81131,                0.69927,                0.79893,                0.50589,                 1.1918,                 1.6543,                 1.2351,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.0681,                 1.2443,                 1.2061,                 0.8155,                0.73972,                0.80898,                0.51083,                 1.1917,                 1.5752,                 1.2336,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.0371,                 1.1818,                 1.2037,                0.84294,                0.75598,                 0.8398,                0.52981,                 1.1724,                 1.4614,                 1.2238,             0.00021471,             0.00021471,             0.00021471
                     25,                0.95929,                 1.1242,                 1.1406,                0.83446,                0.77584,                  0.848,                0.54382,                 1.1543,                 1.3914,                 1.2154,              0.0001487,              0.0001487,              0.0001487
